"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"Adelie","Torgersen",40.3,18,195,3250,"female",2007
"Adelie","Torgersen",NA,NA,NA,NA,NA,2007
"Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"Adelie","Torgersen",34.1,18.1,193,3475,NA,2007
"Adelie","Torgersen",42,20.2,190,4250,NA,2007
"Adelie","Torgersen",37.8,17.1,186,3300,NA,2007
"Adelie","Torgersen",37.8,17.3,180,3700,NA,2007
"Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"Adelie","Torgersen",38.7,19,195,3450,"female",2007
"Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"Adelie","Torgersen",34.4,18.4,184,3325,"female",2007
"Adelie","Torgersen",46,21.5,194,4200,"male",2007
"Adelie","Torgersen",35.9,16.6,190,3050,"female",2008
"Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"Adelie","Torgersen",33.5,19,190,3600,"female",2008
"Adelie","Torgersen",39.7,18.4,190,3900,"male",2008
"Adelie","Torgersen",39.6,17.2,196,3550,"female",2008
"Adelie","Torgersen",45.8,18.9,197,4150,"male",2008
"Adelie","Torgersen",35.5,17.5,190,3700,"female",2008
"Adelie","Torgersen",42.8,18.5,195,4250,"male",2008
"Adelie","Torgersen",40.9,16.8,191,3700,"female",2008
"Adelie","Torgersen",37.2,19.4,184,3900,"male",2008
"Adelie","Torgersen",36.2,16.1,187,3550,"female",2008
"Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"Adelie","Torgersen",34.6,17.2,189,3200,"female",2008
"Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"Adelie","Torgersen",36.7,18.8,187,3800,"female",2008
"Adelie","Torgersen",35.1,19.4,193,4200,"male",2008
"Adelie","Torgersen",38.6,17,188,2900,"female",2009
"Adelie","Torgersen",37.3,20.5,199,3775,"male",2009
"Adelie","Torgersen",35.7,17,189,3350,"female",2009
"Adelie","Torgersen",41.1,18.6,189,3325,"male",2009
"Adelie","Torgersen",36.2,17.2,187,3150,"female",2009
"Adelie","Torgersen",37.7,19.8,198,3500,"male",2009
"Adelie","Torgersen",40.2,17,176,3450,"female",2009
"Adelie","Torgersen",41.4,18.5,202,3875,"male",2009
"Adelie","Torgersen",35.2,15.9,186,3050,"female",2009
"Adelie","Torgersen",40.6,19,199,4000,"male",2009
"Adelie","Torgersen",38.8,17.6,191,3275,"female",2009
"Adelie","Torgersen",41.5,18.3,195,4300,"male",2009
"Adelie","Torgersen",39,17.1,191,3050,"female",2009
"Adelie","Torgersen",44.1,18,210,4000,"male",2009
"Adelie","Torgersen",38.5,17.9,190,3325,"female",2009
"Adelie","Torgersen",43.1,19.2,197,3500,"male",2009
